percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1,0.98,1.03,1.03,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.03,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
1,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.03
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.04,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
0.98,0.98,1.03,1.03,1.04
